--time	Susceptibles	Exposed	Infected	Recovered	Deaths	
62.1899999999962	760439.694739206	369.923156833038	531.396711470918	2742.98438476041	0.00100773048811096	
62.1999999999962	760438.287402125	370.102850343111	531.631075936169	2743.97766350342	0.00100809331137392	
62.2099999999962	760436.879384028	370.282628533854	531.865593308953	2744.97138567336	0.0010084562946715	
62.2199999999962	760435.470684598	370.462491442605	532.100263591524	2745.96555154898	0.00100881943810806	
62.2299999999962	760434.061303516	370.642439106719	532.335086786243	2746.96016140906	0.001009182741788	
62.2399999999962	760432.651240463	370.822471563563	532.57006289558	2747.95521553241	0.0010095462058157	
62.2499999999962	760431.240495121	371.002588850517	532.805191922112	2748.95071419783	0.00100990983029553	
62.2599999999962	760429.82906717	371.182791004978	533.040473868525	2749.94665768416	0.00101027361533189	
62.2699999999962	760428.416956291	371.363078064354	533.27590873761	2750.94304627025	0.00101063756102916	
62.2799999999962	760427.004162166	371.543450066068	533.511496532268	2751.93988023494	0.00101100166749172	
62.2899999999962	760425.590684475	371.723907047558	533.747237255506	2752.93715985713	0.00101136593482398	
62.2999999999962	760424.176522898	371.904449046273	533.983130910439	2753.93488541572	0.00101173036313033	
62.3099999999962	760422.761677116	372.085076099679	534.219177500289	2754.93305718961	0.00101209495251516	
62.3199999999962	760421.34614681	372.265788245255	534.455377028383	2755.93167545773	0.00101245970308286	
62.3299999999962	760419.929931659	372.446585520493	534.691729498157	2756.93074049904	0.00101282461493785	
62.3399999999962	760418.513031343	372.6274679629	534.928234913154	2757.9302525925	0.00101318968818452	
62.3499999999962	760417.095445542	372.808435609997	535.16489327702	2758.9302120171	0.00101355492292727	
62.3599999999962	760415.677173936	372.989488499317	535.401704593512	2759.93061905184	0.00101392031927052	
62.3699999999962	760414.258216204	373.170626668411	535.63866886649	2760.93147397574	0.00101428587731868	
62.3799999999962	760412.838572027	373.351850154839	535.875786099921	2761.93277706784	0.00101465159717615	
62.3899999999962	760411.418241082	373.533158996179	536.113056297879	2762.9345286072	0.00101501747894736	
62.3999999999962	760409.99722305	373.71455323002	536.350479464541	2763.9367288729	0.00101538352273671	
62.4099999999962	760408.575517609	373.896032893968	536.588055604193	2764.93937814403	0.00101574972864864	
62.4199999999962	760407.153124438	374.07759802564	536.825784721225	2765.9424766997	0.00101611609678757	
62.4299999999961	760405.730043216	374.259248662669	537.063666820132	2766.94602481906	0.00101648262725792	
62.4399999999961	760404.306273622	374.440984842701	537.301701905516	2767.95002278126	0.00101684932016413	
62.4499999999961	760402.881815334	374.622806603396	537.539889982081	2768.95447086547	0.00101721617561063	
62.4599999999961	760401.45666803	374.804713982429	537.778231054641	2769.95936935088	0.00101758319370185	
62.4699999999961	760400.030831388	374.986707017488	538.016725128109	2770.96471851672	0.00101795037454224	
62.4799999999961	760398.604305087	375.168785746274	538.255372207508	2771.9705186422	0.00101831771823624	
62.4899999999961	760397.177088804	375.350950206504	538.494172297963	2772.9767700066	0.00101868522488829	
62.4999999999961	760395.749182218	375.533200435908	538.733125404704	2773.98347288919	0.00101905289460285	
62.5099999999961	760394.320585005	375.71553647223	538.972231533064	2774.99062756925	0.00101942072748437	
62.5199999999961	760392.891296844	375.897958353229	539.211490688484	2775.99823432611	0.00101978872363731	
62.5299999999961	760391.461317412	376.080466116676	539.450902876505	2777.00629343912	0.00102015688316613	
62.5399999999961	760390.030646385	376.263059800357	539.690468102774	2778.01480518762	0.0010205252061753	
62.5499999999961	760388.599283441	376.445739442073	539.930186373042	2779.02376985099	0.00102089369276928	
62.5599999999961	760387.167228257	376.628505079638	540.170057693164	2780.03318770865	0.00102126234305255	
62.5699999999961	760385.73448051	376.81135675088	540.410082069097	2781.04305904002	0.00102163115712959	
62.5799999999961	760384.301039875	376.99429449364	540.650259506903	2782.05338412454	0.00102200013510487	
62.5899999999961	760382.866906031	377.177318345776	540.890590012747	2783.06416324169	0.00102236927708288	
62.5999999999961	760381.432078653	377.360428345157	541.131073592897	2784.07539667095	0.00102273858316812	
62.6099999999961	760379.996557417	377.543624529667	541.371710253724	2785.08708469184	0.00102310805346508	
62.6199999999961	760378.560342	377.726906937205	541.612500001702	2786.09922758389	0.00102347768807825	
62.6299999999961	760377.123432077	377.910275605682	541.853442843409	2787.11182562667	0.00102384748711213	
62.6399999999961	760375.685827325	378.093730573025	542.094538785523	2788.12487909976	0.00102421745067124	
62.6499999999961	760374.247527418	378.277271877175	542.335787834829	2789.13838828277	0.00102458757886009	
62.6599999999961	760372.808532033	378.460899556084	542.577189998209	2790.15235345532	0.0010249578717832	
62.6699999999961	760371.368840845	378.644613647723	542.818745282652	2791.16677489707	0.00102532832954508	
62.6799999999961	760369.928453529	378.828414190072	543.060453695247	2792.18165288769	0.00102569895225026	
62.6899999999961	760368.48736976	379.012301221129	543.302315243186	2793.19698770689	0.00102606974000328	
62.6999999999961	760367.045589213	379.196274778904	543.544329933761	2794.2127796344	0.00102644069290866	
62.7099999999961	760365.603111563	379.38033490142	543.786497774369	2795.22902894995	0.00102681181107096	
62.7199999999961	760364.159936485	379.564481626718	544.028818772505	2796.24573593332	0.00102718309459471	
62.7299999999961	760362.716063653	379.748714992848	544.27129293577	2797.26290086432	0.00102755454358447	
62.7399999999961	760361.271492742	379.933035037879	544.513920271862	2798.28052402277	0.00102792615814479	
62.7499999999961	760359.826223426	380.117441799889	544.756700788583	2799.29860568851	0.00102829793838024	
62.7599999999961	760358.380255379	380.301935316974	544.999634493837	2800.31714614142	0.00102866988439538	
62.7699999999961	760356.933588275	380.486515627244	545.242721395626	2801.3361456614	0.00102904199629479	
62.7799999999961	760355.486221787	380.671182768819	545.485961502055	2802.35560452837	0.00102941427418305	
62.7899999999961	760354.038155591	380.855936779838	545.72935482133	2803.37552302227	0.00102978671816473	
